CDXS,"Codexis, Inc.",1111876407,Basic Industries,Major Chemicals,Nasdaq
IOSP,Innospec Inc.,2067461410,Basic Industries,Major Chemicals,Nasdaq
WDFC,WD-40 Company,2342396000,Basic Industries,Major Chemicals,Nasdaq
BCPC,Balchem Corporation,2994995741,Basic Industries,Major Chemicals,Nasdaq
MEOH,Methanex Corporation,4393343225,Basic Industries,Major Chemicals,Nasdaq
AQMS,"Aqua Metals, Inc.",136184251.4,Basic Industries,Metal Fabrications,Nasdaq
ZEUS,"Olympic Steel, Inc.",174703292.1,Basic Industries,Metal Fabrications,Nasdaq
FSTR,L.B. Foster Company,199139708.4,Basic Industries,Metal Fabrications,Nasdaq
STRL,Sterling Construction Company Inc,330826314,Basic Industries,Military/Government/Technical,Nasdaq
GLDD,Great Lakes Dredge & Dock Corporation,562959273.7,Basic Industries,Military/Government/Technical,Nasdaq
ROAD,"Construction Partners, Inc.",656564684.6,Basic Industries,Military/Government/Technical,Nasdaq
SND,"Smart Sand, Inc.",182510836,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Nasdaq
USLM,"United States Lime & Minerals, Inc.",432641734.7,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Nasdaq
ATIS,Attis Industries Inc.,9875118.96,Basic Industries,Miscellaneous,Nasdaq
NEWA,"Newater Technology, Inc.",78581430,Basic Industries,Miscellaneous,Nasdaq
HCCI,"Heritage-Crystal Clean, Inc.",660224545.2,Basic Industries,Miscellaneous,Nasdaq
AMRK,"A-Mark Precious Metals, Inc.",83674255,Basic Industries,Other Specialty Stores,Nasdaq
MERC,Mercer International Inc.,880874440.1,Basic Industries,Paper,Nasdaq
WWR,"Westwater Resources, Inc.",10043962.47,Basic Industries,Precious Metals,Nasdaq
PGLC,Pershing Gold Corporation,39065228.36,Basic Industries,Precious Metals,Nasdaq
CHNR,"China Natural Resources, Inc.",41414397.85,Basic Industries,Precious Metals,Nasdaq
OPNT,"Opiant Pharmaceuticals, Inc.",51500736.32,Basic Industries,Precious Metals,Nasdaq
MPVD,Mountain Province Diamonds Inc.,184896045,Basic Industries,Precious Metals,Nasdaq
SSRM,SSR Mining Inc.,1533440652,Basic Industries,Precious Metals,Nasdaq
PAAS,Pan American Silver Corp.,2775065001,Basic Industries,Precious Metals,Nasdaq
RGLD,"Royal Gold, Inc.",5957455354,Basic Industries,Precious Metals,Nasdaq
CTIB,CTI Industries Corporation,11578164,Basic Industries,Specialty Chemicals,Nasdaq
OSN,"Ossen Innovation Co., Ltd.",3999724.08,Basic Industries,Steel/Iron Ore,Nasdaq
SYNL,Synalloy Corporation,136266084.8,Basic Industries,Steel/Iron Ore,Nasdaq
USAP,"Universal Stainless & Alloy Products, Inc.",145264832.1,Basic Industries,Steel/Iron Ore,Nasdaq
NWPX,Northwest Pipe Company,233641320,Basic Industries,Steel/Iron Ore,Nasdaq
STLD,"Steel Dynamics, Inc.",7862786422,Basic Industries,Steel/Iron Ore,Nasdaq
APWC,Asia Pacific Wire & Cable Corporation Limited,32338025.46,Basic Industries,Telecommunications Equipment,Nasdaq
OCC,Optical Cable Corporation,34730355.69,Basic Industries,Telecommunications Equipment,Nasdaq
CRWS,"Crown Crafts, Inc.",52232399.28,Basic Industries,Textiles,Nasdaq
PLPC,Preformed Line Products Company,268758781.2,Basic Industries,Water Supply,Nasdaq
AEGN,Aegion Corp,557917323.2,Basic Industries,Water Supply,Nasdaq
MYRG,"MYR Group, Inc.",574849134.7,Basic Industries,Water Supply,Nasdaq
PRIM,Primoris Services Corporation,1048796912,Basic Industries,Water Supply,Nasdaq
A,"Agilent Technologies, Inc.",25521925550,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE
ACA,"Arcosa, Inc.",1485505573,Capital Goods,Industrial Machinery/Components,NYSE
ADNT,Adient plc,1212179243,Capital Goods,Auto Parts:O.E.M.,NYSE
AGCO,AGCO Corporation,5335412171,Capital Goods,Industrial Machinery/Components,NYSE
AIR,AAR Corp.,1140014158,Capital Goods,Aerospace,NYSE
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",2795060396,Capital Goods,Military/Government/Technical,NYSE
ALG,"Alamo Group, Inc.",1173302996,Capital Goods,Industrial Machinery/Components,NYSE
ALSN,"Allison Transmission Holdings, Inc.",5665747337,Capital Goods,Auto Parts:O.E.M.,NYSE
ALV,"Autoliv, Inc.",6413368659,Capital Goods,Auto Parts:O.E.M.,NYSE
AP,Ampco-Pittsburgh Corporation,41232991.8,Capital Goods,Fluid Controls,NYSE
APH,Amphenol Corporation,28151356112,Capital Goods,Electrical Products,NYSE
APTV,Aptiv PLC,20500417106,Capital Goods,Auto Parts:O.E.M.,NYSE
ARNC,Arconic Inc.,9267219491,Capital Goods,Metal Fabrications,NYSE
AVX,AVX Corporation,2926988116,Capital Goods,Electrical Products,NYSE
AXL,"American Axle & Manufacturing Holdings, Inc.",1599030596,Capital Goods,Auto Parts:O.E.M.,NYSE
B,"Barnes Group, Inc.",2641218516,Capital Goods,Metal Fabrications,NYSE
BA,Boeing Company (The),2.15305E+11,Capital Goods,Aerospace,NYSE
BIO,"Bio-Rad Laboratories, Inc.",9158846519,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE
